,Abbreviation,TeamId,GridPosition,Position,Time,Status,Race,TotalTime,Rain,Temp
255,MAG,haas,13.0,16.0,,+1 Lap,Hungarian Grand Prix,,0.2754491017964072,
256,ALB,williams,17.0,17.0,,+1 Lap,Hungarian Grand Prix,,0.2754491017964072,
257,LAT,williams,19.0,18.0,,+1 Lap,Hungarian Grand Prix,,0.2754491017964072,
258,TSU,rb,16.0,19.0,,+2 Laps,Hungarian Grand Prix,,0.2754491017964072,
259,BOT,sauber,8.0,20.0,,Power Unit,Hungarian Grand Prix,,0.2754491017964072,
260,VER,red_bull,14.0,1.0,5152894000000.0,Finished,Belgian Grand Prix,0 days 01:25:52.894000,0.0,
261,PER,red_bull,2.0,2.0,5170735000000.0,Finished,Belgian Grand Prix,0 days 01:26:10.735000,0.0,
262,SAI,ferrari,1.0,3.0,5179780000000.0,Finished,Belgian Grand Prix,0 days 01:26:19.780000,0.0,
263,RUS,mercedes,5.0,4.0,5182034000000.0,Finished,Belgian Grand Prix,0 days 01:26:22.034000,0.0,
264,ALO,alpine,3.0,5.0,5226150000000.0,Finished,Belgian Grand Prix,0 days 01:27:06.150000,0.0,
265,LEC,ferrari,15.0,6.0,5227830000000.0,Finished,Belgian Grand Prix,0 days 01:27:07.830000,0.0,
266,OCO,alpine,16.0,7.0,5228534000000.0,Finished,Belgian Grand Prix,0 days 01:27:08.534000,0.0,
267,VET,aston_martin,10.0,8.0,5231001000000.0,Finished,Belgian Grand Prix,0 days 01:27:11.001000,0.0,
268,GAS,rb,0.0,9.0,5245075000000.0,Finished,Belgian Grand Prix,0 days 01:27:25.075000,0.0,
269,ALB,williams,6.0,10.0,5254794000000.0,Finished,Belgian Grand Prix,0 days 01:27:34.794000,0.0,
270,STR,aston_martin,9.0,11.0,5255972000000.0,Finished,Belgian Grand Prix,0 days 01:27:35.972000,0.0,
271,NOR,mclaren,17.0,12.0,5257633000000.0,Finished,Belgian Grand Prix,0 days 01:27:37.633000,0.0,
272,TSU,rb,0.0,13.0,5258111000000.0,Finished,Belgian Grand Prix,0 days 01:27:38.111000,0.0,
273,ZHO,sauber,18.0,14.0,5259146000000.0,Finished,Belgian Grand Prix,0 days 01:27:39.146000,0.0,
274,RIC,mclaren,7.0,15.0,5260057000000.0,Finished,Belgian Grand Prix,0 days 01:27:40.057000,0.0,
275,MAG,haas,12.0,16.0,,+1 Lap,Belgian Grand Prix,,0.0,
276,MSC,haas,19.0,17.0,,+1 Lap,Belgian Grand Prix,,0.0,
277,LAT,williams,11.0,18.0,,+1 Lap,Belgian Grand Prix,,0.0,
278,BOT,sauber,13.0,19.0,,Accident,Belgian Grand Prix,,0.0,
279,HAM,mercedes,4.0,20.0,,Collision damage,Belgian Grand Prix,,0.0,
280,VER,red_bull,1.0,1.0,5802773000000.0,Finished,Dutch Grand Prix,0 days 01:36:42.773000,0.0,
281,RUS,mercedes,6.0,2.0,5806844000000.0,Finished,Dutch Grand Prix,0 days 01:36:46.844000,0.0,
282,LEC,ferrari,2.0,3.0,5813702000000.0,Finished,Dutch Grand Prix,0 days 01:36:53.702000,0.0,
283,HAM,mercedes,4.0,4.0,5815789000000.0,Finished,Dutch Grand Prix,0 days 01:36:55.789000,0.0,
284,PER,red_bull,5.0,5.0,5820941000000.0,Finished,Dutch Grand Prix,0 days 01:37:00.941000,0.0,
285,ALO,alpine,13.0,6.0,5821527000000.0,Finished,Dutch Grand Prix,0 days 01:37:01.527000,0.0,
286,NOR,mclaren,7.0,7.0,5822079000000.0,Finished,Dutch Grand Prix,0 days 01:37:02.079000,0.0,
287,SAI,ferrari,3.0,8.0,5823689000000.0,Finished,Dutch Grand Prix,0 days 01:37:03.689000,0.0,
288,OCO,alpine,12.0,9.0,5823890000000.0,Finished,Dutch Grand Prix,0 days 01:37:03.890000,0.0,
289,STR,aston_martin,10.0,10.0,5825232000000.0,Finished,Dutch Grand Prix,0 days 01:37:05.232000,0.0,
290,GAS,rb,11.0,11.0,5829782000000.0,Finished,Dutch Grand Prix,0 days 01:37:09.782000,0.0,
291,ALB,williams,15.0,12.0,5833163000000.0,Finished,Dutch Grand Prix,0 days 01:37:13.163000,0.0,
292,MSC,haas,8.0,13.0,5835768000000.0,Finished,Dutch Grand Prix,0 days 01:37:15.768000,0.0,
293,VET,aston_martin,19.0,14.0,5838780000000.0,Finished,Dutch Grand Prix,0 days 01:37:18.780000,0.0,
294,MAG,haas,18.0,15.0,5839642000000.0,Finished,Dutch Grand Prix,0 days 01:37:19.642000,0.0,
295,ZHO,sauber,14.0,16.0,5840093000000.0,Finished,Dutch Grand Prix,0 days 01:37:20.093000,0.0,
296,RIC,mclaren,17.0,17.0,5840537000000.0,Finished,Dutch Grand Prix,0 days 01:37:20.537000,0.0,
297,LAT,williams,20.0,18.0,,+1 Lap,Dutch Grand Prix,,0.0,
298,BOT,sauber,16.0,19.0,,Engine,Dutch Grand Prix,,0.0,
299,TSU,rb,9.0,20.0,,Differential,Dutch Grand Prix,,0.0,
300,VER,red_bull,7.0,1.0,4827511000000.0,Finished,Italian Grand Prix,0 days 01:20:27.511000,0.0,
301,LEC,ferrari,1.0,2.0,4829957000000.0,Finished,Italian Grand Prix,0 days 01:20:29.957000,0.0,
302,RUS,mercedes,2.0,3.0,4830916000000.0,Finished,Italian Grand Prix,0 days 01:20:30.916000,0.0,
303,SAI,ferrari,18.0,4.0,4832572000000.0,Finished,Italian Grand Prix,0 days 01:20:32.572000,0.0,
304,HAM,mercedes,19.0,5.0,4832891000000.0,Finished,Italian Grand Prix,0 days 01:20:32.891000,0.0,
305,PER,red_bull,13.0,6.0,4833602000000.0,Finished,Italian Grand Prix,0 days 01:20:33.602000,0.0,
306,NOR,mclaren,3.0,7.0,4833718000000.0,Finished,Italian Grand Prix,0 days 01:20:33.718000,0.0,
307,GAS,rb,5.0,8.0,4833907000000.0,Finished,Italian Grand Prix,0 days 01:20:33.907000,0.0,
308,DEV,williams,8.0,9.0,4834633000000.0,Finished,Italian Grand Prix,0 days 01:20:34.633000,0.0,
309,ZHO,sauber,9.0,10.0,4835421000000.0,Finished,Italian Grand Prix,0 days 01:20:35.421000,0.0,
310,OCO,alpine,14.0,11.0,4835834000000.0,Finished,Italian Grand Prix,0 days 01:20:35.834000,0.0,
311,MSC,haas,17.0,12.0,4836060000000.0,Finished,Italian Grand Prix,0 days 01:20:36.060000,0.0,
312,BOT,sauber,15.0,13.0,,+1 Lap,Italian Grand Prix,,0.0,
313,TSU,rb,20.0,14.0,,+1 Lap,Italian Grand Prix,,0.0,
314,LAT,williams,10.0,15.0,,+1 Lap,Italian Grand Prix,,0.0,
315,MAG,haas,16.0,16.0,,+1 Lap,Italian Grand Prix,,0.0,
316,RIC,mclaren,4.0,17.0,,Oil leak,Italian Grand Prix,,0.0,
317,STR,aston_martin,12.0,18.0,,Engine,Italian Grand Prix,,0.0,
318,ALO,alpine,6.0,19.0,,Water pressure,Italian Grand Prix,,0.0,
319,VET,aston_martin,11.0,20.0,,Engine,Italian Grand Prix,,0.0,
320,PER,red_bull,2.0,1.0,7340238000000.0,Finished,Singapore Grand Prix,0 days 02:02:20.238000,0.1803921568627451,
321,LEC,ferrari,1.0,2.0,7342833000000.0,Finished,Singapore Grand Prix,0 days 02:02:22.833000,0.1803921568627451,
322,SAI,ferrari,4.0,3.0,7350543000000.0,Finished,Singapore Grand Prix,0 days 02:02:30.543000,0.1803921568627451,
323,NOR,mclaren,6.0,4.0,7361371000000.0,Finished,Singapore Grand Prix,0 days 02:02:41.371000,0.1803921568627451,
324,RIC,mclaren,16.0,5.0,7393520000000.0,Finished,Singapore Grand Prix,0 days 02:03:13.520000,0.1803921568627451,
325,STR,aston_martin,11.0,6.0,7396568000000.0,Finished,Singapore Grand Prix,0 days 02:03:16.568000,0.1803921568627451,
326,VER,red_bull,8.0,7.0,7399063000000.0,Finished,Singapore Grand Prix,0 days 02:03:19.063000,0.1803921568627451,
327,VET,aston_martin,13.0,8.0,7400270000000.0,Finished,Singapore Grand Prix,0 days 02:03:20.270000,0.1803921568627451,
328,HAM,mercedes,3.0,9.0,7401753000000.0,Finished,Singapore Grand Prix,0 days 02:03:21.753000,0.1803921568627451,
329,GAS,rb,7.0,10.0,7409814000000.0,Finished,Singapore Grand Prix,0 days 02:03:29.814000,0.1803921568627451,
330,BOT,sauber,15.0,11.0,7429082000000.0,Finished,Singapore Grand Prix,0 days 02:03:49.082000,0.1803921568627451,
331,MAG,haas,9.0,12.0,7432848000000.0,Finished,Singapore Grand Prix,0 days 02:03:52.848000,0.1803921568627451,
332,MSC,haas,12.0,13.0,,+1 Lap,Singapore Grand Prix,,0.1803921568627451,
333,RUS,mercedes,0.0,14.0,,+2 Laps,Singapore Grand Prix,,0.1803921568627451,
334,TSU,rb,10.0,15.0,,Accident,Singapore Grand Prix,,0.1803921568627451,
335,OCO,alpine,17.0,16.0,,Engine,Singapore Grand Prix,,0.1803921568627451,
336,ALB,williams,18.0,17.0,,Collision damage,Singapore Grand Prix,,0.1803921568627451,
337,ALO,alpine,5.0,18.0,,Engine,Singapore Grand Prix,,0.1803921568627451,
338,LAT,williams,19.0,19.0,,Collision damage,Singapore Grand Prix,,0.1803921568627451,
339,ZHO,sauber,14.0,20.0,,Collision,Singapore Grand Prix,,0.1803921568627451,
340,VER,red_bull,1.0,1.0,10904004000000.0,Finished,Japanese Grand Prix,0 days 03:01:44.004000,0.9803921568627452,
341,PER,red_bull,4.0,2.0,10931070000000.0,Finished,Japanese Grand Prix,0 days 03:02:11.070000,0.9803921568627452,
342,LEC,ferrari,2.0,3.0,10935767000000.0,Finished,Japanese Grand Prix,0 days 03:02:15.767000,0.9803921568627452,
343,OCO,alpine,5.0,4.0,10943689000000.0,Finished,Japanese Grand Prix,0 days 03:02:23.689000,0.9803921568627452,
344,HAM,mercedes,6.0,5.0,10944330000000.0,Finished,Japanese Grand Prix,0 days 03:02:24.330000,0.9803921568627452,
345,VET,aston_martin,9.0,6.0,10950362000000.0,Finished,Japanese Grand Prix,0 days 03:02:30.362000,0.9803921568627452,
346,ALO,alpine,7.0,7.0,10950373000000.0,Finished,Japanese Grand Prix,0 days 03:02:30.373000,0.9803921568627452,
347,RUS,mercedes,8.0,8.0,10951665000000.0,Finished,Japanese Grand Prix,0 days 03:02:31.665000,0.9803921568627452,
348,LAT,williams,20.0,9.0,10974147000000.0,Finished,Japanese Grand Prix,0 days 03:02:54.147000,0.9803921568627452,
349,NOR,mclaren,10.0,10.0,10974786000000.0,Finished,Japanese Grand Prix,0 days 03:02:54.786000,0.9803921568627452,
350,RIC,mclaren,11.0,11.0,10976881000000.0,Finished,Japanese Grand Prix,0 days 03:02:56.881000,0.9803921568627452,
351,STR,aston_martin,19.0,12.0,10977908000000.0,Finished,Japanese Grand Prix,0 days 03:02:57.908000,0.9803921568627452,
352,TSU,rb,13.0,13.0,10979603000000.0,Finished,Japanese Grand Prix,0 days 03:02:59.603000,0.9803921568627452,
353,MAG,haas,18.0,14.0,10990020000000.0,Finished,Japanese Grand Prix,0 days 03:03:10.020000,0.9803921568627452,
354,BOT,sauber,12.0,15.0,10990500000000.0,Finished,Japanese Grand Prix,0 days 03:03:10.500000,0.9803921568627452,
355,ZHO,sauber,14.0,16.0,10991047000000.0,Finished,Japanese Grand Prix,0 days 03:03:11.047000,0.9803921568627452,
356,MSC,haas,15.0,17.0,10996527000000.0,Finished,Japanese Grand Prix,0 days 03:03:16.527000,0.9803921568627452,
357,GAS,rb,17.0,18.0,11012095000000.0,Finished,Japanese Grand Prix,0 days 03:03:32.095000,0.9803921568627452,
358,SAI,ferrari,3.0,19.0,,Accident,Japanese Grand Prix,,0.9803921568627452,
359,ALB,williams,16.0,20.0,,Hydraulics,Japanese Grand Prix,,0.9803921568627452,
360,VER,red_bull,2.0,1.0,6131687000000.0,Finished,United States Grand Prix,0 days 01:42:11.687000,0.0,
361,HAM,mercedes,3.0,2.0,6136710000000.0,Finished,United States Grand Prix,0 days 01:42:16.710000,0.0,
362,LEC,ferrari,12.0,3.0,6139188000000.0,Finished,United States Grand Prix,0 days 01:42:19.188000,0.0,
363,PER,red_bull,9.0,4.0,6139980000000.0,Finished,United States Grand Prix,0 days 01:42:19.980000,0.0,
364,RUS,mercedes,4.0,5.0,6176502000000.0,Finished,United States Grand Prix,0 days 01:42:56.502000,0.0,
365,NOR,mclaren,6.0,6.0,6185472000000.0,Finished,United States Grand Prix,0 days 01:43:05.472000,0.0,
366,ALO,alpine,14.0,7.0,6186765000000.0,Finished,United States Grand Prix,0 days 01:43:06.765000,0.0,
367,VET,aston_martin,10.0,8.0,6197041000000.0,Finished,United States Grand Prix,0 days 01:43:17.041000,0.0,
368,MAG,haas,13.0,9.0,6197521000000.0,Finished,United States Grand Prix,0 days 01:43:17.521000,0.0,
369,TSU,rb,19.0,10.0,6202606000000.0,Finished,United States Grand Prix,0 days 01:43:22.606000,0.0,
370,OCO,alpine,0.0,11.0,6204562000000.0,Finished,United States Grand Prix,0 days 01:43:24.562000,0.0,
371,ZHO,sauber,18.0,12.0,6207851000000.0,Finished,United States Grand Prix,0 days 01:43:27.851000,0.0,
372,ALB,williams,8.0,13.0,6211744000000.0,Finished,United States Grand Prix,0 days 01:43:31.744000,0.0,
373,GAS,rb,11.0,14.0,6213450000000.0,Finished,United States Grand Prix,0 days 01:43:33.450000,0.0,
374,MSC,haas,16.0,15.0,6216177000000.0,Finished,United States Grand Prix,0 days 01:43:36.177000,0.0,
375,RIC,mclaren,15.0,16.0,6222174000000.0,Finished,United States Grand Prix,0 days 01:43:42.174000,0.0,
376,LAT,williams,17.0,17.0,6235275000000.0,Finished,United States Grand Prix,0 days 01:43:55.275000,0.0,
377,STR,aston_martin,5.0,18.0,,Collision,United States Grand Prix,,0.0,
378,BOT,sauber,7.0,19.0,,Spun off,United States Grand Prix,,0.0,
379,SAI,ferrari,1.0,20.0,,Collision damage,United States Grand Prix,,0.0,
380,VER,red_bull,1.0,1.0,5916729000000.0,Finished,Mexico City Grand Prix,0 days 01:38:36.729000,0.0,
381,HAM,mercedes,3.0,2.0,5931915000000.0,Finished,Mexico City Grand Prix,0 days 01:38:51.915000,0.0,
382,PER,red_bull,4.0,3.0,5934826000000.0,Finished,Mexico City Grand Prix,0 days 01:38:54.826000,0.0,
383,RUS,mercedes,2.0,4.0,5966160000000.0,Finished,Mexico City Grand Prix,0 days 01:39:26.160000,0.0,
384,SAI,ferrari,5.0,5.0,5974852000000.0,Finished,Mexico City Grand Prix,0 days 01:39:34.852000,0.0,
385,LEC,ferrari,7.0,6.0,5985503000000.0,Finished,Mexico City Grand Prix,0 days 01:39:45.503000,0.0,
386,RIC,mclaren,11.0,7.0,,+1 Lap,Mexico City Grand Prix,,0.0,
387,OCO,alpine,10.0,8.0,,+1 Lap,Mexico City Grand Prix,,0.0,
388,NOR,mclaren,8.0,9.0,,+1 Lap,Mexico City Grand Prix,,0.0,
389,BOT,sauber,6.0,10.0,,+1 Lap,Mexico City Grand Prix,,0.0,
390,GAS,rb,14.0,11.0,,+1 Lap,Mexico City Grand Prix,,0.0,
391,ALB,williams,17.0,12.0,,+1 Lap,Mexico City Grand Prix,,0.0,
392,ZHO,sauber,12.0,13.0,,+1 Lap,Mexico City Grand Prix,,0.0,
393,VET,aston_martin,16.0,14.0,,+1 Lap,Mexico City Grand Prix,,0.0,
394,STR,aston_martin,20.0,15.0,,+1 Lap,Mexico City Grand Prix,,0.0,
395,MSC,haas,15.0,16.0,,+1 Lap,Mexico City Grand Prix,,0.0,
396,MAG,haas,19.0,17.0,,+1 Lap,Mexico City Grand Prix,,0.0,
397,LAT,williams,18.0,18.0,,+2 Laps,Mexico City Grand Prix,,0.0,
398,ALO,alpine,9.0,19.0,,Engine,Mexico City Grand Prix,,0.0,
399,TSU,rb,13.0,20.0,,Collision damage,Mexico City Grand Prix,,0.0,
400,RUS,mercedes,1.0,1.0,5914044000000.0,Finished,São Paulo Grand Prix,0 days 01:38:34.044000,0.0,
401,HAM,mercedes,2.0,2.0,5915573000000.0,Finished,São Paulo Grand Prix,0 days 01:38:35.573000,0.0,
402,SAI,ferrari,7.0,3.0,5918095000000.0,Finished,São Paulo Grand Prix,0 days 01:38:38.095000,0.0,
403,LEC,ferrari,5.0,4.0,5922485000000.0,Finished,São Paulo Grand Prix,0 days 01:38:42.485000,0.0,
404,ALO,alpine,17.0,5.0,5923605000000.0,Finished,São Paulo Grand Prix,0 days 01:38:43.605000,0.0,
405,VER,red_bull,3.0,6.0,5924100000000.0,Finished,São Paulo Grand Prix,0 days 01:38:44.100000,0.0,
406,PER,red_bull,4.0,7.0,5928124000000.0,Finished,São Paulo Grand Prix,0 days 01:38:48.124000,0.0,
407,OCO,alpine,16.0,8.0,5932734000000.0,Finished,São Paulo Grand Prix,0 days 01:38:52.734000,0.0,
408,BOT,sauber,14.0,9.0,5936596000000.0,Finished,São Paulo Grand Prix,0 days 01:38:56.596000,0.0,
409,STR,aston_martin,15.0,10.0,5937596000000.0,Finished,São Paulo Grand Prix,0 days 01:38:57.596000,0.0,
410,VET,aston_martin,9.0,11.0,5940227000000.0,Finished,São Paulo Grand Prix,0 days 01:39:00.227000,0.0,
411,ZHO,sauber,13.0,12.0,5943369000000.0,Finished,São Paulo Grand Prix,0 days 01:39:03.369000,0.0,
412,MSC,haas,12.0,13.0,5943943000000.0,Finished,São Paulo Grand Prix,0 days 01:39:03.943000,0.0,
413,GAS,rb,10.0,14.0,5945911000000.0,Finished,São Paulo Grand Prix,0 days 01:39:05.911000,0.0,
414,ALB,williams,19.0,15.0,5950060000000.0,Finished,São Paulo Grand Prix,0 days 01:39:10.060000,0.0,
415,LAT,williams,18.0,16.0,5951082000000.0,Finished,São Paulo Grand Prix,0 days 01:39:11.082000,0.0,
416,TSU,rb,0.0,17.0,,+1 Lap,São Paulo Grand Prix,,0.0,
417,NOR,mclaren,6.0,18.0,,Gearbox,São Paulo Grand Prix,,0.0,
418,MAG,haas,8.0,19.0,,Collision,São Paulo Grand Prix,,0.0,
419,RIC,mclaren,11.0,20.0,,Collision,São Paulo Grand Prix,,0.0,
420,VER,red_bull,1.0,1.0,5265914000000.0,Finished,Abu Dhabi Grand Prix,0 days 01:27:45.914000,0.0,
421,LEC,ferrari,3.0,2.0,5274685000000.0,Finished,Abu Dhabi Grand Prix,0 days 01:27:54.685000,0.0,
422,PER,red_bull,2.0,3.0,5276007000000.0,Finished,Abu Dhabi Grand Prix,0 days 01:27:56.007000,0.0,
423,SAI,ferrari,4.0,4.0,5290806000000.0,Finished,Abu Dhabi Grand Prix,0 days 01:28:10.806000,0.0,
424,RUS,mercedes,6.0,5.0,5301802000000.0,Finished,Abu Dhabi Grand Prix,0 days 01:28:21.802000,0.0,
425,NOR,mclaren,7.0,6.0,5322148000000.0,Finished,Abu Dhabi Grand Prix,0 days 01:28:42.148000,0.0,
426,OCO,alpine,8.0,7.0,5323154000000.0,Finished,Abu Dhabi Grand Prix,0 days 01:28:43.154000,0.0,
427,STR,aston_martin,14.0,8.0,5342845000000.0,Finished,Abu Dhabi Grand Prix,0 days 01:29:02.845000,0.0,
428,RIC,mclaren,13.0,9.0,5349182000000.0,Finished,Abu Dhabi Grand Prix,0 days 01:29:09.182000,0.0,
429,VET,aston_martin,9.0,10.0,5349812000000.0,Finished,Abu Dhabi Grand Prix,0 days 01:29:09.812000,0.0,
430,TSU,rb,11.0,11.0,5355285000000.0,Finished,Abu Dhabi Grand Prix,0 days 01:29:15.285000,0.0,
431,ZHO,sauber,15.0,12.0,,+1 Lap,Abu Dhabi Grand Prix,,0.0,
432,ALB,williams,19.0,13.0,,+1 Lap,Abu Dhabi Grand Prix,,0.0,
433,GAS,rb,17.0,14.0,,+1 Lap,Abu Dhabi Grand Prix,,0.0,
434,BOT,sauber,18.0,15.0,,+1 Lap,Abu Dhabi Grand Prix,,0.0,
435,MSC,haas,12.0,16.0,,+1 Lap,Abu Dhabi Grand Prix,,0.0,
436,MAG,haas,16.0,17.0,,+1 Lap,Abu Dhabi Grand Prix,,0.0,
437,HAM,mercedes,5.0,18.0,,Hydraulics,Abu Dhabi Grand Prix,,0.0,
438,LAT,williams,20.0,19.0,,Collision damage,Abu Dhabi Grand Prix,,0.0,
439,ALO,alpine,10.0,20.0,,Water leak,Abu Dhabi Grand Prix,,0.0,
440,VER,red_bull,1.0,1.0,5636736000000.0,Finished,Bahrain Grand Prix,0 days 01:33:56.736000,0.0,
441,PER,red_bull,2.0,2.0,5648723000000.0,Finished,Bahrain Grand Prix,0 days 01:34:08.723000,0.0,
442,ALO,aston_martin,5.0,3.0,5675373000000.0,Finished,Bahrain Grand Prix,0 days 01:34:35.373000,0.0,
443,SAI,ferrari,4.0,4.0,5684788000000.0,Finished,Bahrain Grand Prix,0 days 01:34:44.788000,0.0,
444,HAM,mercedes,7.0,5.0,5687713000000.0,Finished,Bahrain Grand Prix,0 days 01:34:47.713000,0.0,
445,STR,aston_martin,8.0,6.0,5691238000000.0,Finished,Bahrain Grand Prix,0 days 01:34:51.238000,0.0,
446,RUS,mercedes,6.0,7.0,5692609000000.0,Finished,Bahrain Grand Prix,0 days 01:34:52.609000,0.0,
447,BOT,sauber,12.0,8.0,5709383000000.0,Finished,Bahrain Grand Prix,0 days 01:35:09.383000,0.0,
448,GAS,alpine,20.0,9.0,5710489000000.0,Finished,Bahrain Grand Prix,0 days 01:35:10.489000,0.0,
449,ALB,williams,15.0,10.0,5726510000000.0,Finished,Bahrain Grand Prix,0 days 01:35:26.510000,0.0,
450,TSU,rb,14.0,11.0,5727606000000.0,Finished,Bahrain Grand Prix,0 days 01:35:27.606000,0.0,
451,SAR,williams,16.0,12.0,5728742000000.0,Lapped,Bahrain Grand Prix,0 days 01:35:28.742000,0.0,
452,MAG,haas,17.0,13.0,5744363000000.0,Lapped,Bahrain Grand Prix,0 days 01:35:44.363000,0.0,
453,DEV,rb,19.0,14.0,5750129000000.0,Lapped,Bahrain Grand Prix,0 days 01:35:50.129000,0.0,
454,HUL,haas,10.0,15.0,5766517000000.0,Lapped,Bahrain Grand Prix,0 days 01:36:06.517000,0.0,
455,ZHO,sauber,13.0,16.0,5767255000000.0,Lapped,Bahrain Grand Prix,0 days 01:36:07.255000,0.0,
456,NOR,mclaren,11.0,17.0,5773891000000.0,Lapped,Bahrain Grand Prix,0 days 01:36:13.891000,0.0,
457,OCO,alpine,9.0,18.0,,Retired,Bahrain Grand Prix,,0.0,
458,LEC,ferrari,3.0,19.0,,Retired,Bahrain Grand Prix,,0.0,
459,PIA,mclaren,18.0,20.0,,Retired,Bahrain Grand Prix,,0.0,
460,PER,red_bull,1.0,1.0,4874894000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:21:14.894000,0.0,
461,VER,red_bull,15.0,2.0,4880249000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:21:20.249000,0.0,
462,ALO,aston_martin,2.0,3.0,4895622000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:21:35.622000,0.0,
463,RUS,mercedes,3.0,4.0,4900760000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:21:40.760000,0.0,
464,HAM,mercedes,7.0,5.0,4905959000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:21:45.959000,0.0,
465,SAI,ferrari,4.0,6.0,4910770000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:21:50.770000,0.0,
466,LEC,ferrari,12.0,7.0,4918056000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:21:58.056000,0.0,
467,OCO,alpine,6.0,8.0,4927726000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:22:07.726000,0.0,
468,GAS,alpine,9.0,9.0,4929641000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:22:09.641000,0.0,
469,MAG,haas,13.0,10.0,4939720000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:22:19.720000,0.0,
470,TSU,rb,16.0,11.0,4942388000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:22:22.388000,0.0,
471,HUL,haas,10.0,12.0,4945482000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:22:25.482000,0.0,
472,ZHO,sauber,11.0,13.0,4950954000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:22:30.954000,0.0,
473,DEV,rb,18.0,14.0,4952372000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:22:32.372000,0.0,
474,PIA,mclaren,8.0,15.0,4959915000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:22:39.915000,0.0,
475,SAR,williams,20.0,16.0,4961187000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:22:41.187000,0.0,
476,NOR,mclaren,19.0,17.0,4961339000000.0,Finished,Saudi Arabian Grand Prix,0 days 01:22:41.339000,0.0,
477,BOT,sauber,14.0,18.0,4990923000000.0,Lapped,Saudi Arabian Grand Prix,0 days 01:23:10.923000,0.0,
478,ALB,williams,17.0,19.0,,Retired,Saudi Arabian Grand Prix,,0.0,
479,STR,aston_martin,5.0,20.0,,Retired,Saudi Arabian Grand Prix,,0.0,
480,VER,red_bull,1.0,1.0,9158371000000.0,Finished,Australian Grand Prix,0 days 02:32:38.371000,0.0,
481,HAM,mercedes,3.0,2.0,9158550000000.0,Finished,Australian Grand Prix,0 days 02:32:38.550000,0.0,
482,ALO,aston_martin,4.0,3.0,9159140000000.0,Finished,Australian Grand Prix,0 days 02:32:39.140000,0.0,
483,STR,aston_martin,6.0,4.0,9161453000000.0,Finished,Australian Grand Prix,0 days 02:32:41.453000,0.0,
484,PER,red_bull,20.0,5.0,9161691000000.0,Finished,Australian Grand Prix,0 days 02:32:41.691000,0.0,
485,NOR,mclaren,13.0,6.0,9162072000000.0,Finished,Australian Grand Prix,0 days 02:32:42.072000,0.0,
486,HUL,haas,10.0,7.0,9163310000000.0,Finished,Australian Grand Prix,0 days 02:32:43.310000,0.0,
487,PIA,mclaren,16.0,8.0,9163753000000.0,Finished,Australian Grand Prix,0 days 02:32:43.753000,0.0,
488,ZHO,sauber,17.0,9.0,9164084000000.0,Finished,Australian Grand Prix,0 days 02:32:44.084000,0.0,
489,TSU,rb,12.0,10.0,9164423000000.0,Finished,Australian Grand Prix,0 days 02:32:44.423000,0.0,
490,BOT,sauber,19.0,11.0,9164884000000.0,Finished,Australian Grand Prix,0 days 02:32:44.884000,0.0,
491,SAI,ferrari,5.0,12.0,9164965000000.0,Finished,Australian Grand Prix,0 days 02:32:44.965000,0.0,
492,GAS,alpine,9.0,13.0,,Finished,Australian Grand Prix,,0.0,
493,OCO,alpine,11.0,14.0,,Finished,Australian Grand Prix,,0.0,
494,DEV,rb,15.0,15.0,,Finished,Australian Grand Prix,,0.0,
495,SAR,williams,18.0,16.0,,Finished,Australian Grand Prix,,0.0,
496,MAG,haas,14.0,17.0,,Finished,Australian Grand Prix,,0.0,
497,RUS,mercedes,2.0,18.0,,Retired,Australian Grand Prix,,0.0,
498,ALB,williams,8.0,19.0,,Retired,Australian Grand Prix,,0.0,
499,LEC,ferrari,7.0,20.0,,Retired,Australian Grand Prix,,0.0,
500,PER,red_bull,3.0,1.0,5562436000000.0,Finished,Azerbaijan Grand Prix,0 days 01:32:42.436000,0.0,
501,VER,red_bull,2.0,2.0,5564573000000.0,Finished,Azerbaijan Grand Prix,0 days 01:32:44.573000,0.0,
502,LEC,ferrari,1.0,3.0,5583653000000.0,Finished,Azerbaijan Grand Prix,0 days 01:33:03.653000,0.0,
503,ALO,aston_martin,6.0,4.0,5584460000000.0,Finished,Azerbaijan Grand Prix,0 days 01:33:04.460000,0.0,
504,SAI,ferrari,4.0,5.0,5607927000000.0,Finished,Azerbaijan Grand Prix,0 days 01:33:27.927000,0.0,
